               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10469,            0.041099,            0.033313,              0.3344,            0.047619,           0.0005876,          7.8649e-05,            0.094121,            0.039541,            0.029082,             0.00088,             0.00088,             0.09208
                   1,             0.10033,            0.043512,            0.026225,          0.00096857,            0.068027,          0.00063084,          0.00011669,            0.094741,             0.03933,            0.025495,           0.0017698,           0.0017698,             0.08407
                   2,            0.098717,            0.044318,             0.02298,          0.00099332,            0.030612,           0.0005929,          0.00015332,             0.10296,            0.039868,            0.027106,            0.002659,            0.002659,            0.076059
                   3,            0.097843,            0.043709,            0.021545,           0.0092944,            0.099773,           0.0047979,          0.00062398,            0.098911,            0.037403,            0.024253,           0.0035468,           0.0035468,            0.068047
                   4,            0.095172,            0.044296,            0.020384,             0.34339,            0.027211,           0.0027411,          0.00062983,            0.090144,            0.040283,            0.022196,            0.004433,            0.004433,            0.060033
                   5,            0.088471,            0.045724,            0.019392,             0.79572,             0.10204,            0.079307,            0.020396,            0.076257,            0.038316,            0.020638,           0.0053169,           0.0053169,            0.052017
                   6,            0.079404,            0.042951,            0.017793,             0.78704,             0.13265,            0.086079,            0.019744,            0.073541,            0.035701,            0.019758,           0.0061979,           0.0061979,            0.043998
                   7,            0.073798,            0.041583,            0.017981,             0.78652,              0.1795,             0.12125,            0.042633,            0.065757,            0.034784,            0.019395,           0.0070757,           0.0070757,            0.035976
                   8,            0.069133,            0.038872,            0.017527,             0.86887,             0.18367,             0.18281,            0.071861,            0.055886,            0.030498,            0.018717,           0.0079496,           0.0079496,             0.02795
                   9,            0.067103,            0.038114,            0.016111,             0.81553,             0.14286,             0.13477,            0.055922,            0.061149,            0.038747,            0.018343,           0.0088191,           0.0088191,            0.019919
                  10,            0.064781,            0.036952,            0.014964,             0.85753,             0.21418,             0.20938,             0.09208,            0.056673,             0.02951,            0.017352,           0.0096838,           0.0096838,            0.011884
                  11,            0.060646,            0.036911,            0.014375,             0.71865,             0.33859,             0.31255,             0.13051,            0.051804,            0.027523,            0.015088,           0.0098811,           0.0098811,           0.0098811
                  12,            0.057896,            0.034973,            0.012318,             0.69967,             0.33195,             0.31771,             0.12228,            0.052997,              0.0298,            0.014245,           0.0098811,           0.0098811,           0.0098811
                  13,            0.055054,            0.032547,            0.012046,             0.90377,             0.39073,             0.43825,             0.22731,            0.044399,            0.024751,            0.012185,           0.0098586,           0.0098586,           0.0098586
                  14,            0.051085,             0.03261,            0.011189,             0.86327,             0.42225,             0.44319,             0.21491,            0.048303,            0.024462,            0.011737,           0.0098342,           0.0098342,           0.0098342
                  15,            0.049497,            0.032338,           0.0095394,             0.79881,              0.3731,             0.41703,             0.18233,            0.046502,            0.024246,            0.011932,           0.0098079,           0.0098079,           0.0098079
                  16,            0.048027,             0.03053,            0.010082,             0.87609,             0.41714,             0.45398,             0.22687,            0.041709,            0.023941,            0.011191,           0.0097798,           0.0097798,           0.0097798
                  17,            0.046702,            0.031444,            0.010041,              0.8533,             0.42029,             0.48656,             0.27779,             0.03902,             0.02218,            0.011093,           0.0097497,           0.0097497,           0.0097497
                  18,             0.04569,            0.029683,           0.0097196,              0.7944,             0.48744,             0.49033,             0.27753,            0.038334,            0.021997,            0.010795,           0.0097178,           0.0097178,           0.0097178
                  19,            0.044096,            0.030325,           0.0092823,             0.90325,             0.44445,             0.51902,             0.27601,            0.040624,             0.02096,            0.010437,            0.009684,            0.009684,            0.009684
                  20,            0.043265,            0.029339,            0.008983,             0.87134,             0.44839,             0.50827,             0.28472,            0.038087,             0.02212,            0.011265,           0.0096484,           0.0096484,           0.0096484
                  21,             0.04194,            0.029147,           0.0090108,             0.87383,             0.41994,             0.56077,             0.30483,            0.037285,            0.022083,            0.010063,            0.009611,            0.009611,            0.009611
                  22,            0.042246,            0.028372,           0.0086426,              0.8763,             0.46268,             0.53141,             0.30299,            0.037373,            0.020724,           0.0099102,           0.0095717,           0.0095717,           0.0095717
                  23,            0.041874,            0.028179,            0.008393,             0.90648,             0.45133,             0.56727,             0.31367,            0.038843,            0.021297,            0.010087,           0.0095307,           0.0095307,           0.0095307
                  24,            0.039769,            0.027785,           0.0078329,             0.95855,             0.43115,             0.52577,             0.28884,             0.03711,            0.020404,           0.0096037,           0.0094879,           0.0094879,           0.0094879
                  25,            0.040534,            0.028005,            0.008412,             0.86884,               0.472,             0.51387,             0.27471,            0.038694,            0.021266,            0.010619,           0.0094434,           0.0094434,           0.0094434
