               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10445,             0.03318,            0.024876,           0.0022458,             0.10236,           0.0013448,          0.00027876,            0.094612,            0.039379,            0.022642,             0.00088,             0.00088,             0.09208
                   1,             0.10042,            0.034611,            0.021152,           0.0030304,            0.010204,          0.00086506,          0.00015635,             0.10347,            0.035254,            0.022346,           0.0017698,           0.0017698,             0.08407
                   2,            0.098925,            0.036503,            0.019092,           0.0054298,            0.005102,          0.00063379,          0.00011477,             0.10089,            0.036494,            0.020696,            0.002659,            0.002659,            0.076059
                   3,            0.097708,            0.037612,             0.01852,           0.0018453,             0.13265,           0.0011879,          0.00027848,            0.093018,            0.040366,            0.019338,           0.0035468,           0.0035468,            0.068047
                   4,            0.095197,              0.0364,            0.017904,            0.011713,            0.010204,           0.0019496,          0.00034301,            0.092202,            0.040694,            0.019248,            0.004433,            0.004433,            0.060033
                   5,             0.08809,            0.040332,            0.017581,            0.044565,            0.096939,            0.022613,           0.0061133,            0.077927,            0.046278,            0.018458,           0.0053169,           0.0053169,            0.052017
                   6,            0.080233,            0.039502,            0.016845,             0.54989,             0.10204,            0.027981,           0.0055923,            0.088703,            0.038718,            0.017501,           0.0061979,           0.0061979,            0.043998
                   7,            0.073976,            0.035439,              0.0151,             0.73801,             0.20408,             0.18588,            0.060801,            0.068688,            0.035351,            0.015949,           0.0070757,           0.0070757,            0.035976
                   8,            0.068757,            0.034114,            0.013789,             0.72306,             0.14796,             0.12338,            0.035367,            0.082586,            0.034009,            0.016028,           0.0079496,           0.0079496,             0.02795
                   9,            0.067976,            0.034008,            0.012876,              0.7562,              0.2091,             0.20776,             0.07274,            0.065015,            0.036804,            0.015071,           0.0088191,           0.0088191,            0.019919
                  10,            0.065599,            0.032954,            0.011928,             0.30451,             0.49713,             0.31078,            0.097506,            0.059347,            0.031313,            0.012044,           0.0096838,           0.0096838,            0.011884
                  11,            0.062202,            0.032422,            0.011118,             0.48696,             0.42434,             0.39228,             0.15211,            0.055575,            0.040032,            0.010371,           0.0098811,           0.0098811,           0.0098811
                  12,            0.058229,            0.031227,            0.010277,             0.64009,             0.52328,             0.50149,             0.19766,            0.052043,            0.028831,            0.010051,           0.0098811,           0.0098811,           0.0098811
                  13,            0.054836,            0.030726,           0.0098434,             0.52866,             0.55963,             0.51802,             0.22971,            0.046987,             0.02914,           0.0095201,           0.0098586,           0.0098586,           0.0098586
                  14,            0.053376,            0.029351,           0.0088905,             0.75327,              0.5338,             0.58555,             0.28252,            0.045694,            0.025904,           0.0085126,           0.0098342,           0.0098342,           0.0098342
                  15,            0.050906,            0.029638,           0.0087148,             0.57272,             0.54421,             0.49561,             0.25484,            0.046449,             0.02652,            0.014546,           0.0098079,           0.0098079,           0.0098079
                  16,            0.049527,            0.028288,           0.0082225,             0.73683,             0.56464,             0.61142,             0.29008,            0.044693,             0.02607,           0.0089368,           0.0097798,           0.0097798,           0.0097798
                  17,            0.049479,            0.029086,             0.00821,              0.6698,             0.65105,             0.63664,             0.30884,            0.041117,            0.023379,           0.0088076,           0.0097497,           0.0097497,           0.0097497
                  18,             0.04666,            0.026706,           0.0073701,             0.75828,             0.58578,              0.6383,             0.32719,            0.041106,            0.023241,            0.011264,           0.0097178,           0.0097178,           0.0097178
                  19,            0.044925,            0.027742,           0.0078271,             0.70167,             0.60548,             0.62471,             0.33118,            0.040888,            0.025297,           0.0083588,            0.009684,            0.009684,            0.009684
                  20,            0.044331,            0.026751,           0.0074212,             0.85285,             0.61629,             0.67377,             0.35221,            0.040689,            0.022312,           0.0093342,           0.0096484,           0.0096484,           0.0096484
                  21,            0.044193,            0.027273,           0.0070543,             0.83445,             0.56452,             0.65162,             0.30851,            0.039711,             0.02382,           0.0098497,            0.009611,            0.009611,            0.009611
                  22,             0.04336,            0.026852,            0.006793,             0.63823,             0.61161,             0.60519,             0.30154,            0.041854,            0.025512,            0.013066,           0.0095717,           0.0095717,           0.0095717
                  23,            0.042434,            0.026946,           0.0069943,              0.9297,             0.62503,             0.68684,             0.38185,            0.038384,            0.023398,           0.0085569,           0.0095307,           0.0095307,           0.0095307
                  24,            0.042254,            0.026892,            0.006427,             0.81154,             0.65242,             0.69755,             0.37174,            0.037857,              0.0217,           0.0074122,           0.0094879,           0.0094879,           0.0094879
                  25,            0.042126,             0.02587,           0.0061421,             0.88718,             0.63233,              0.7044,             0.37137,            0.037071,            0.022366,           0.0089856,           0.0094434,           0.0094434,           0.0094434
                  26,            0.041091,            0.025864,           0.0065485,             0.88762,              0.6317,             0.71699,             0.37843,            0.037225,            0.023044,           0.0072289,           0.0093971,           0.0093971,           0.0093971
                  27,            0.039813,            0.025326,            0.005759,             0.88852,             0.65306,             0.73267,             0.37079,            0.038633,            0.022254,           0.0077559,           0.0093491,           0.0093491,           0.0093491
                  28,            0.039821,            0.024943,           0.0056482,             0.91164,             0.59088,             0.72759,             0.37486,            0.038484,            0.021811,           0.0073048,           0.0092995,           0.0092995,           0.0092995
                  29,            0.039924,            0.026068,           0.0058696,             0.73287,             0.70472,             0.72078,              0.3906,            0.036365,            0.021666,           0.0065981,           0.0092481,           0.0092481,           0.0092481
                  30,            0.038614,            0.026527,           0.0053148,             0.88411,             0.62723,             0.74119,             0.40774,            0.036662,            0.022599,           0.0060816,           0.0091952,           0.0091952,           0.0091952
                  31,            0.038296,            0.025336,           0.0050843,             0.79359,              0.7161,             0.75628,             0.40935,             0.03575,            0.022758,            0.007316,           0.0091406,           0.0091406,           0.0091406
                  32,            0.037836,            0.024402,           0.0048606,             0.88232,             0.62485,             0.73921,             0.41272,            0.036651,            0.021144,           0.0069481,           0.0090844,           0.0090844,           0.0090844
                  33,            0.038472,            0.026057,           0.0051811,             0.74777,             0.65712,             0.69063,             0.36523,            0.036688,            0.023351,           0.0079993,           0.0090266,           0.0090266,           0.0090266
